Questions,Answers,Path,Image1,Image2,Image3,,
How can I set up my password to access Pharmlytics?,"Once your account has been created by your manager you will receive the link in your registered email. While clicking on the link you will reach the screen to set up a password. Password must contain 8 characters, one upper case, one lower case letter, one number and one special character.",Navigation Path: Link in Email -> Set Your Password Screen -> Enter New Password -> Click on Set Password button -> Updated Password Screen -> Click on Login button,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Login%20Flow/1.png,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Login%20Flow/2.png,,,
My verification email says the link has expired. What should I do?,"User will receive the link after their account is created by their Manager. Nevertheless, the link will expire in 1 hour. If the link has expired, the manager can resend it from the Employee listing page",Navigation Path: Manager goes to the Employee Listing Screen -> Search the employee -> Go to the status column -> Send the link again by clicking,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Login%20Flow/3.png,,,,
How can I log in to Pharmlytics?,"After setting up a password, User can log in to their account by using their registered email and password.",Navigation Path: Login Screen -> Enter Email and Password -> Click on the Login Button,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Login%20Flow/4.png,,,,
How can I reset my password if I forget it?,"On the login screen, you can access forget your password from where you will receive the link on the registered email to reset your password. The link will expire within 1 hour","Navigation Path: On the login screen, select Forgot Your Password -> Enter the email address -> click on Request reset password -> Click on the link -> Enter your new password -> Click on Reset your Password -> Click on Login Button",https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Login%20Flow/5.png,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Login%20Flow/6.png,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Login%20Flow/7.png,,
How do I change my account password?,"You can change your password by adding your current and new password in the change password screen.
",Navigation Path: Click on Profile Icon -> Click on Security -> Change Password Screen -> Enter current and new password -> Click on Save Password button,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Login%20Flow/8.png,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Login%20Flow/9.png,,,
Where can I update some of the information in my profile?,"Users can navigate to the Account settings and access their profile, giving them the ability to modify any enabled fields.",Navigation Path: Click on Profile Icon -> Click on Account Settings -> Change the desired fields in the Profile form -> Click on the Update Profile button,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Login%20Flow/10.png,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Login%20Flow/11.png,,,
Why are some of my fields disabled in account settings?,"In the Profile form, some of the fields such as Assigned Pharmacy, Email, Assigned Roles, Assigned Permissions, Line Manager and Salary are disabled because the user is not allowed to change those fields. Only respected managers are allowed to change those fields.",,,,,,
Is there a limit to the number of pharmacies I can manage?,"Yes, each user has a set limit based on their role. Different roles have restrictions on the number of pharmacies they can view and manage. Pharmacy Managers can only manage the pharmacies assigned to them, while senior managers have access to all pharmacies in the system.",,,,,,
Where can I see the number of Pharmacies I can access?,"In the Pharmacy Listing page, you can view the list of pharmacies assigned to you along with the actions you can take against them. Permissions dictate the actions any user can take on their assigned pharmacies.",,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-1.png,,,Is there a limit to the number of pharmacies I can manage?,Is there a limit to the number of pharmacies I can manage?
What details can I manage for my pharmacy?,"Users have the ability to manage pharmacy details based on the permissions assigned to them. These details encompass all operations such as viewing, updating, deleting, and creating. Senior managers typically hold all permissions for various modules, while other roles are limited to specific permissions.",,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/pharm-2.png,,,,
