Questions,Answers,Path,Image1,Image2,Image3
Is there a limit to the number of pharmacies I can manage?,"Yes, each user has a set limit based on their role. Different roles have restrictions on the number of pharmacies they can view and manage. Pharmacy Managers can only manage the pharmacies assigned to them, while senior managers have access to all pharmacies in the system.",,,,
Where can I see the number of Pharmacies I can access?,"In the Pharmacy Listing page, you can view the list of pharmacies assigned to you along with the actions you can take against them. Permissions dictate the actions any user can take on their assigned pharmacies.",,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-1.png,,
What details can I manage for my pharmacy?,"Users have the ability to manage pharmacy details based on the permissions assigned to them. These details encompass all operations such as viewing, updating, deleting, and creating. Senior managers typically hold all permissions for various modules, while other roles are limited to specific permissions.",,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/pharm-2.png,,
Is there a way from where I can find out a specific pharmacy?,"To filter out the results, you can use the Pharmacy postal code filter.",,,,
How do I create a new pharmacy in Pharmlytics?,"To create a new Pharmacy, simply access the create pharmacy form. Fill in all the required information and optionally include additional users as needed",Navigation Link : Pharmacy Listing page ? Click on Create Pharmacy Button ? Enter all the information ? Click on Create Pharmacy button,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-3.png,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-4.png,
From where can I see the details of created pharmacy?,"From Pharmacy Listing Page, You can go and click on the detail icon to view the details of the pharmacy ",Navigation Link: Pharmacy Listing Page ? Identify/ Search the desired Pharmacy ? Click on View Detail icon,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-5.png,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-6.png,
Where can I add or associate users to any Pharmacy?,"There are two ways to add users to the pharmacy. The first method is to do so while creating the pharmacy, and the second method is to navigate to the pharmacy details page where you will find an option to add users. Simply select the users you wish to add to the pharmacy from there.","Navigation Link 1 : Pharmacy Listing page ? Click on Create Pharmacy Button ? Enter all the information ? Click on Add employees to Pharmacy ? Choose the employees from the list ? Click on Add Employee button ? Click on Create Pharmacy button

Navigation Link 2 : Pharmacy Listing Page ? Click on View Details icon ? Click on Add employees to Pharmacy ? Choose the employees from the list ? Click on Add Employee button",https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-7.png,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-8.png,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/pharm-9.png
Where can I add or associate users to any Pharmacy? Navigation 2,,,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-10.png,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-11.png,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-12.png
Where can I update the changes in some existing pharmacy?,"To update your pharmacy, simply access it from the Pharmacy Lists. All existing information will be prepopulated, allowing you to make any necessary edits","Navigation Link 1 : Pharmacy Listing page ? Click on Edit Pharmacy icon ? Update the information ? Click on Update Pharmacy Button

Navigation Link 2: Pharmacy Listing Page ? Click on View Detail icon ? Click on Edit Pharmacy button ? Update the information ? Click on Update Pharmacy Button",https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-13.png,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-14.png,
From where can I delete the Pharmacy if I want to?,"To delete the pharmacy, simply access it from the Pharmacy List. ",Navigation Link : Pharmacy Listing page ? Click on Delete Pharmacy icon ? Click on Delete Pharmacy Button.,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-15.png,https://pharmalytics-bi-platform.s3.eu-west-2.amazonaws.com/FAQ-Pictures/Pharmacy%20Screenshots/Pharm-16.png,
